decision_id,item_id,item_type,domain,decision_status,evidence_level,source_artifact,strata,sample_size_warning,causal_availability,leakage_risk,decision_rationale,next_allowed_action
DEC-WCT-COOL-002,WCT-COOL-002,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"month, hour of min-delta","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-003,WCT-COOL-003,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"wind speed, direction delta, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-004,WCT-COOL-004,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"dewpoint trend, wind sector, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-005,WCT-COOL-005,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"hours of cooling, month, regime","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-006,WCT-COOL-006,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"wind speed during cooling, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-007,WCT-COOL-007,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"hours since frontal passage, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-008,WCT-COOL-008,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"month, remaining warming delta","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-009,WCT-COOL-009,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"cooling hour, month, regime","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-010,WCT-COOL-010,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"month, CP, T_anomaly","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-011,WCT-COOL-011,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"precipitation flag, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-012,WCT-COOL-012,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"wind sector, dewpoint trend, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-013,WCT-COOL-013,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"consecutive count, month, regime","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-014,WCT-COOL-014,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"month, regime, CP","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-015,WCT-COOL-015,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"next-day regime, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-016,WCT-COOL-016,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"clearing time, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-017,WCT-COOL-017,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"hours since disruption, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-018,WCT-COOL-018,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"sub-sector, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-019,WCT-COOL-019,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"month, regime","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-020,WCT-COOL-020,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"month, regime, DTR","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-001,WCT-WIND-001,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"sub-sector, speed bin, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-002,WCT-WIND-002,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"persistence metric, month, regime","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-003,WCT-WIND-003,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"speed bin, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-004,WCT-WIND-004,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"sea breeze onset hour, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-005,WCT-WIND-005,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"rotation direction, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-006,WCT-WIND-006,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,month,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-007,WCT-WIND-007,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"NE sector flag, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-008,WCT-WIND-008,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"steadiness metric, month, regime","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-009,WCT-WIND-009,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"calm threshold, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-010,WCT-WIND-010,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"sub-sector, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-011,WCT-WIND-011,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"W sector, Tmax anomaly, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-012,WCT-WIND-012,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"speed trend, month, regime","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-013,WCT-WIND-013,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"SE flag, Tmax anomaly, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-014,WCT-WIND-014,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"month, CP","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-015,WCT-WIND-015,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"recovery path, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-016,WCT-WIND-016,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"direction, speed, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-017,WCT-WIND-017,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"month, speed-Tmax curve","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-018,WCT-WIND-018,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"gust factor, month, regime","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-019,WCT-WIND-019,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"southerly obs count, CP, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-WIND-020,WCT-WIND-020,thesis,WIND,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,"NE-E sector, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
