stratum_type,stratum_value,k,n_rows,eta2_tmax_anomaly,eta2_remaining_warming,tmax_anomaly_cluster_spread,remaining_warming_cluster_spread,outcome_usage
month,1,2,1623,0.024395595099331792,0.000322451752232862,0.9356074467872755,0.06713386518334197,Evaluation only after causal cluster assignment; not used in clustering.
month,9,5,1544,0.4232438179252213,0.1375462072398785,4.121847645147042,1.4225107623941118,Evaluation only after causal cluster assignment; not used in clustering.
month,9,6,1544,0.3879031871678599,0.14485444748388812,3.8757555808247046,1.8039579468150895,Evaluation only after causal cluster assignment; not used in clustering.
month,10,2,1595,0.038831965407474967,0.00022027804557553184,0.8653956304721382,0.046845593650274076,Evaluation only after causal cluster assignment; not used in clustering.
month,10,3,1595,0.03562620184195514,0.08928349770273207,0.9766271509260476,0.9766970563858515,Evaluation only after causal cluster assignment; not used in clustering.
month,10,4,1595,0.2331089008093385,0.08648853438708337,3.043377026560882,1.0184896991255372,Evaluation only after causal cluster assignment; not used in clustering.
month,10,5,1595,0.32157972373389104,0.0818805853235533,3.2995401996847082,1.2207840236686391,Evaluation only after causal cluster assignment; not used in clustering.
month,10,6,1595,0.33752034546117227,0.09651366856246726,3.3962499084450304,1.446334102609622,Evaluation only after causal cluster assignment; not used in clustering.
month,11,2,1580,0.007484228238369848,0.006081869658109358,0.41031507124222355,0.23536825205699352,Evaluation only after causal cluster assignment; not used in clustering.
month,11,3,1580,0.22775718104618023,0.0032376318273529795,3.0434606954454266,0.22874626849200186,Evaluation only after causal cluster assignment; not used in clustering.
month,11,4,1580,0.24385520458373666,0.02241143691344975,3.47851305832062,0.5306939689784878,Evaluation only after causal cluster assignment; not used in clustering.
month,11,5,1580,0.28714271547886916,0.029549882860903494,3.5263478260869556,0.6473572037510655,Evaluation only after causal cluster assignment; not used in clustering.
month,11,6,1580,0.31346350669712736,0.05924096248073291,3.624915659694534,1.0889971282166788,Evaluation only after causal cluster assignment; not used in clustering.
month,12,2,1705,0.0007192542719963239,0.004798374847035923,0.13513851963164183,0.22163416285483084,Evaluation only after causal cluster assignment; not used in clustering.
month,12,3,1705,0.011225811920879937,0.016361037652518732,0.6320118564667245,0.4942439494538444,Evaluation only after causal cluster assignment; not used in clustering.
month,12,4,1705,0.13430760480886683,0.01467077254797865,2.5037662427906326,0.4680703217288582,Evaluation only after causal cluster assignment; not used in clustering.
month,12,5,1705,0.17421289713484572,0.033421786661269576,3.141078783047695,0.78859052392887,Evaluation only after causal cluster assignment; not used in clustering.
month,12,6,1705,0.21738499705409844,0.08110421534340226,3.4361016423923147,1.708148714031067,Evaluation only after causal cluster assignment; not used in clustering.
season,DJF,2,4842,0.010760286281298806,0.006722696864642729,0.5595122138559788,0.28502390060668104,Evaluation only after causal cluster assignment; not used in clustering.
season,DJF,3,4842,0.11952034199909553,0.013545532090792243,2.2657891263069594,0.4398668123198606,Evaluation only after causal cluster assignment; not used in clustering.
season,DJF,4,4842,0.2248081760061031,0.03705452384535654,2.8930656103492747,0.8423979881926547,Evaluation only after causal cluster assignment; not used in clustering.
season,DJF,5,4842,0.26219890390035805,0.03585431071791297,3.5193211774718014,0.8375966699528974,Evaluation only after causal cluster assignment; not used in clustering.
season,DJF,6,4842,0.27857743376602623,0.052256945447226304,3.8398587289749266,1.2754255260156495,Evaluation only after causal cluster assignment; not used in clustering.
season,JJA,2,4669,0.07509285329659296,0.14156914586950348,1.083992505610341,1.2375448881118283,Evaluation only after causal cluster assignment; not used in clustering.
season,JJA,3,4669,0.193580427572987,0.19631960596263193,2.1345362696445482,1.7460736637127594,Evaluation only after causal cluster assignment; not used in clustering.
season,JJA,4,4669,0.3294595354062466,0.2420356853792065,3.2163595618120047,2.0423762921538726,Evaluation only after causal cluster assignment; not used in clustering.
season,JJA,5,4669,0.2875293890097538,0.19037942431344088,2.772863441091473,2.0358133283427193,Evaluation only after causal cluster assignment; not used in clustering.
season,JJA,6,4669,0.37167678900843604,0.25949965036981204,3.7859434828093512,2.224653795018413,Evaluation only after causal cluster assignment; not used in clustering.
season,MAM,2,5030,0.023658832205114236,0.05105466136902167,0.755803794203124,0.7668855658935669,Evaluation only after causal cluster assignment; not used in clustering.
season,MAM,3,5030,0.07933465739708079,0.15080423881902663,1.4798488903316735,1.3730944174978765,Evaluation only after causal cluster assignment; not used in clustering.
season,MAM,4,5030,0.1533991450645974,0.15671336762329524,2.7725020121328225,1.4701538256483977,Evaluation only after causal cluster assignment; not used in clustering.
season,MAM,5,5030,0.35007987601881885,0.16916090669387146,3.7351190815572317,1.8376928575038445,Evaluation only after causal cluster assignment; not used in clustering.
season,MAM,6,5030,0.3465269581392327,0.18375424605853713,3.458444869864107,2.0273684519700996,Evaluation only after causal cluster assignment; not used in clustering.
season,SON,2,4719,0.037894536344889485,0.00244358744978347,0.8805830770208427,0.15496813893499684,Evaluation only after causal cluster assignment; not used in clustering.
season,SON,3,4719,0.04171567351648451,0.08121104207529421,1.1292283081019097,0.9783436305870381,Evaluation only after causal cluster assignment; not used in clustering.
season,SON,4,4719,0.24706068771436837,0.07936676573004303,3.2156856952544066,1.0341213806874914,Evaluation only after causal cluster assignment; not used in clustering.
season,SON,5,4719,0.33008277797820706,0.07336204824958659,3.561189792545262,1.0853631533338377,Evaluation only after causal cluster assignment; not used in clustering.
season,SON,6,4719,0.35086846895931834,0.09984009584442877,3.53362555908517,1.4490390011223344,Evaluation only after causal cluster assignment; not used in clustering.
