month,cp,n_rows,n_fixed_60_trigger,fixed_60_trigger_rate,n_fixed_60_nw_sector_not_foehn,n_fixed_60_non_foehn_regime,has_nw_sector_not_foehn,has_regime_label,fixed_60_nw_sector_not_foehn_share,fixed_60_non_foehn_regime_share,audit_interpretation
8,23:00,445,58,0.1303370786516854,0,44,true,true,0.0,0.7586206896551724,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
9,20:00,450,91,0.20222222222222222,1,53,true,true,0.01098901098901099,0.5824175824175825,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
9,21:00,450,97,0.21555555555555556,1,60,true,true,0.010309278350515464,0.6185567010309279,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
9,22:00,450,107,0.23777777777777778,1,66,true,true,0.009345794392523364,0.616822429906542,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
9,23:00,450,115,0.25555555555555554,1,70,true,true,0.008695652173913044,0.6086956521739131,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
10,20:00,464,111,0.23922413793103448,0,63,true,true,0.0,0.5675675675675675,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
10,21:00,464,116,0.25,0,69,true,true,0.0,0.5948275862068966,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
10,22:00,464,129,0.27801724137931033,0,83,true,true,0.0,0.6434108527131783,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
10,23:00,464,146,0.3146551724137931,0,106,true,true,0.0,0.726027397260274,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
11,20:00,453,89,0.19646799116997793,1,57,true,true,0.011235955056179775,0.6404494382022472,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
11,21:00,453,101,0.2229580573951435,1,66,true,true,0.009900990099009901,0.6534653465346535,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
11,22:00,453,115,0.25386313465783666,1,78,true,true,0.008695652173913044,0.6782608695652174,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
11,23:00,453,134,0.2958057395143488,2,98,true,true,0.014925373134328358,0.7313432835820896,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
12,20:00,491,86,0.17515274949083504,0,54,true,true,0.0,0.627906976744186,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
12,21:00,491,98,0.19959266802443992,0,63,true,true,0.0,0.6428571428571429,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
12,22:00,491,106,0.2158859470468432,0,71,true,true,0.0,0.6698113207547169,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
12,23:00,491,124,0.2525458248472505,0,83,true,true,0.0,0.6693548387096774,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
